Latitude,Longitude,LocationTime,ShipmentNumber
53.13833,-1.327364,1/28/2021 9:07,SEZHUK-210127-000836
53.097362,-1.314799,1/28/2021 9:07,SEZHUK-210127-000836
53.081566,-1.296553,1/28/2021 9:12,SEZHUK-210127-000836
53.065203,-1.270203,1/28/2021 9:12,SEZHUK-210127-000836
53.040516,-1.253806,1/28/2021 9:17,SEZHUK-210127-000836
53.015102,-1.243105,1/28/2021 9:17,SEZHUK-210127-000836
52.9905,-1.233735,1/28/2021 9:27,SEZHUK-210127-000836
52.945096,-1.279453,1/28/2021 9:32,SEZHUK-210127-000836
52.92212,-1.299804,1/28/2021 9:37,SEZHUK-210127-000836
52.871173,-1.307405,1/28/2021 9:42,SEZHUK-210127-000836
52.843494,-1.295448,1/28/2021 9:42,SEZHUK-210127-000836
52.801256,-1.332835,1/28/2021 9:53,SEZHUK-210127-000836
52.798743,-1.375225,1/28/2021 9:58,SEZHUK-210127-000836
52.763834,-1.43156,1/28/2021 9:58,SEZHUK-210127-000836
52.74275,-1.455214,1/28/2021 10:39,SEZHUK-210127-000836
52.707791,-1.521851,1/28/2021 10:44,SEZHUK-210127-000836
52.688259,-1.548502,1/28/2021 10:44,SEZHUK-210127-000836
52.644413,-1.59679,1/28/2021 10:54,SEZHUK-210127-000836
52.624373,-1.625524,1/28/2021 11:00,SEZHUK-210127-000836
52.600502,-1.644938,1/28/2021 11:00,SEZHUK-210127-000836
52.581032,-1.673374,1/28/2021 11:15,SEZHUK-210127-000836
52.561323,-1.703963,1/28/2021 11:15,SEZHUK-210127-000836
52.538394,-1.726395,1/28/2021 11:21,SEZHUK-210127-000836
52.510935,-1.725582,1/28/2021 11:21,SEZHUK-210127-000836
52.485687,-1.710955,1/28/2021 11:28,SEZHUK-210127-000836
52.447698,-1.708451,1/28/2021 11:28,SEZHUK-210127-000836
52.409676,-1.732353,1/28/2021 11:33,SEZHUK-210127-000836
52.394859,-1.766878,1/28/2021 11:37,SEZHUK-210127-000836
52.369173,-1.794414,1/28/2021 11:37,SEZHUK-210127-000836
52.351599,-1.850372,1/28/2021 11:47,SEZHUK-210127-000836
52.354501,-1.892774,1/28/2021 11:47,SEZHUK-210127-000836
52.359816,-1.934677,1/28/2021 11:54,SEZHUK-210127-000836
52.356353,-1.97581,1/28/2021 12:04,SEZHUK-210127-000836
52.355072,-2.016976,1/28/2021 12:04,SEZHUK-210127-000836
52.332965,-2.084627,1/28/2021 12:09,SEZHUK-210127-000836
52.28199,-2.119092,1/28/2021 12:09,SEZHUK-210127-000836
52.258656,-2.136572,1/28/2021 12:14,SEZHUK-210127-000836
52.208158,-2.160083,1/28/2021 12:29,SEZHUK-210127-000836
52.184161,-2.170858,1/28/2021 12:29,SEZHUK-210127-000836
52.159232,-2.188409,1/28/2021 12:34,SEZHUK-210127-000836
52.106063,-2.191545,1/29/2021 8:14,SEZHUK-210127-000836
52.082607,-2.173752,1/29/2021 8:14,SEZHUK-210127-000836
